Reaction	Glucose	Fructose	Gluconate	Succinate + Glutamate	Glycerol	Malate	Malate + Glucose	Pyruvate
R_EX_fe2_e	0.0	5.013495216352807e-15	0.0	2.460087563551188e-15	0.0	5.918661972442558e-15	0.0	5.4768507315175496e-15
R_EX_dextrin_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_dha_e	0.02533387367192203	0.01928706783712298	0.0023202759934577164	5.421117347267632e-07	0.0010786433738712619	7.841141985743974e-07	0.028574226766362218	2.321962446136693e-07
R_EX_ac_e	0.8951832212356258	0.8547131940540931	0.8574314876355192	0.5898564588343311	0.6776318513929742	0.9343712089335592	1.0995824692850749	1.0588776568172371
R_EX_acac_e	0.01493390216325685	0.015631595969812062	0.005323424877165207	0.0038886852438665756	0.0031940457246795364	0.002661178659023339	0.017950321679078337	0.01641326990945598
R_EX_fe3_e	3.447819807433916e-11	3.4477976029734236e-11	3.447886420815393e-11	3.4477531940524386e-11	3.4479752386573637e-11	3.448086260959826e-11	3.4477531940524386e-11	3.448086260959826e-11
R_EX_ferrich_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_diact_e	1.3332332191215767e-23	1.534941406285839e-25	1.3061899637182071e-23	1.0193119364071804e-23	1.0232835646017675e-23	6.569390630873531e-24	1.1377431401179113e-23	6.249810002457242e-24
R_EX_djenk_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ferxa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_fol_e	0.00024012935997376827	0.00019818468787283534	0.00016851033049666316	0.0009121948169244939	4.565402382814198e-05	7.494559290922545e-05	0.0003737904491248707	8.107370435858486e-05
R_EX_acgam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acmana_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_acnam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_for_e	0.6006002295258084	0.6061044935344949	0.6224543740067482	0.3954046633835108	0.5230257476688401	0.6020551055059907	0.6893876259511774	0.5353709578450814
R_EX_fru_e	0.0	-1.86618188413696	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_actn__R_e	0.0027582635416008123	0.0029421795537610323	0.0002360617740386605	4.4841079940794815e-05	0.0002910731655663712	8.59748730101732e-06	0.0024827377780408076	7.916945806683873e-05
R_EX_ade_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_adn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_akg_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_B_e	0.0	0.0	0.0	2.2374803429822635e-09	0.0	0.0	0.0	0.0
R_EX_ala__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_L_Thr__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_L_asp__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_L_gln__L_e	0.0	0.0	0.0	9.639918490113247e-09	0.0	0.0	0.0	0.0
R_EX_ala_L_glu__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_L_alagly_e	9.235464226427647e-09	9.314237147370666e-09	8.883478647041303e-09	9.618736608161332e-09	7.903870012281653e-09	8.9218002263228e-09	9.446719767440436e-09	9.041845602050142e-09
R_EX_ala_L_his__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ala_L_leu__L_e	9.214113116562363e-09	9.263983828099785e-09	8.646991771614436e-09	9.550519102472363e-09	8.141689285417098e-09	8.43709126521567e-09	9.353313163170078e-09	9.133349432019793e-09
R_EX_g6p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gal_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_galctr__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_galt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_galur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gam6p_e	1.3395817346123068e-05	4.1515967040460407e-07	4.6111173230411266e-08	0.0	0.0	0.0	1.0591947322092784e-05	0.0
R_EX_gam_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gbbtn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glc__D_e	-1.8496263286625536	0.0	0.0	0.0	0.0	0.0	-1.68769456321735	0.0
R_EX_glcn__D_e	4.0648853775056514e-09	0.0	-1.5167475848627443	0.0	0.0	0.0	6.695790560437805e-09	0.0
R_EX_glcr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glcur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gln__L_e	0.0	0.0	0.0	1.6759056074944351e-09	0.0	0.0	0.0	0.0
R_EX_glu__D_e	0.0	0.0	0.0	4.272980347172145e-10	0.0	0.0	0.0	0.0
R_EX_alaala_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_alltn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_amp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_amylase_e	1.3332332191215767e-23	1.534941406285839e-25	1.3061899637182071e-23	1.0193119364071804e-23	1.0232835646017675e-23	6.569390630873531e-24	1.1377431401179113e-23	6.249810002457242e-24
R_EX_fum_e	0.008044977855818224	0.008191697575122125	0.007895650883366558	0.05711081834325366	0.0012740239294797926	0.11102302970851803	0.13923813539406946	0.013860720265765885
R_EX_antim_e	3.987799871177711e-23	6.994339266711394e-25	3.9068892629403294e-23	3.023521859479302e-23	3.085274932144153e-23	1.9647809005962586e-23	3.4029983391369805e-23	1.8446866266688516e-23
R_EX_g1p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glu__L_e	0.0	0.0	0.0	-2.2537715066190955	0.0	0.0	0.0	0.0
R_EX_arab__D_e	0.0	0.0	0.0	0.0	0.0	0.0	4.0097364182383954e-11	0.0
R_EX_arab__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_arbt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_arg__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_argp_e	0.0	0.0	0.0	1.8559417128131496e-08	0.0	0.0	0.0	0.0
R_EX_arsenb_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_arsna_e	3.987799871177711e-23	6.994339266711394e-25	3.9068892629403294e-23	3.023521859479302e-23	3.085274932144153e-23	1.9647809005962586e-23	3.4029983391369805e-23	1.8446866266688516e-23
R_EX_arsni2_e	3.962689137121139e-23	6.994339266711394e-25	3.9068892629403294e-23	3.023521859479302e-23	3.085274932144153e-23	1.9647809005962586e-23	3.4029983391369805e-23	1.869895707182811e-23
R_EX_asn__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_asp__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_bilea_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_btd_RR_e	0.03612961462456285	0.03824233204611522	0.002554717135286689	0.00020788529114878384	0.005289962943482791	3.791873986726874e-05	0.033473836544477706	0.00016184487289719814
R_EX_glx_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_buts_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ca2_e	3.202949017122592e-11	3.202971221583084e-11	3.203037834964561e-11	3.2029046082016066e-11	3.203148857267024e-11	3.2032154706485017e-11	3.2029268126620985e-11	3.2032154706485017e-11
R_EX_cbl2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_pur_e	5.5310038239784615e-21	8.786362940022733e-23	3.2241405038103948e-21	2.4093190879001493e-21	2.59797276806702e-21	9.81586295423652e-22	5.228854928317404e-21	7.862123732214101e-22
R_EX_pyr_e	0.07969575989258754	0.0970594782654082	0.04263129802048365	0.03197317482949018	0.016828329171087043	0.05947765682580933	0.20373779623995264	-3.017165974035568
R_EX_cd2_e	1.9462020235203022e-21	4.402631690114821e-23	1.0211089168279573e-21	7.315386415529304e-22	7.559426318522163e-22	2.710264075532249e-22	1.8206240557551606e-21	2.0678427223171613e-22
R_EX_gly_asn__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cellb_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cgly_e	2.98951202443304e-08	2.989467464573732e-08	2.989731515790552e-08	2.9732213867007856e-08	2.9901051375311144e-08	2.989430673994973e-08	2.9890919199082306e-08	2.9894645568363614e-08
R_EX_raffin_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_rib__D_e	0.09974599244975116	0.02548882369884297	0.008560858831832201	0.0	0.000685634660726261	1.3378293558005438e-09	0.09859069525248307	0.0
R_EX_gly_asp__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ribflv_e	0.0006688720279388439	0.00034191765772596984	0.0002496849105295	3.3121095080501364e-05	5.288434418629254e-05	7.523361512706612e-06	0.0008879234470173629	5.763864983229925e-06
R_EX_chitob_e	1.3332332191215767e-23	1.534941406285839e-25	1.3061899637182071e-23	1.0193119364071804e-23	1.0232835646017675e-23	6.569390630873531e-24	1.1377431401179113e-23	6.249810002457242e-24
R_EX_gly_e	0.035076775906059836	0.04294623705141674	0.02938943669730578	0.07367190276325818	0.0118097566837998	0.02236031699611596	0.07274795704520114	0.010213458188605471
R_EX_chol_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_rmn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gly_gln__L_e	0.0	0.0	0.0	9.637738280746098e-09	0.0	0.0	0.0	0.0
R_EX_chols_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_chor_e	6.349403897476721e-06	1.8125280865232707e-06	1.4904756634604044e-06	0.0	1.249641168419163e-07	0.0	2.6105578858525808e-05	0.0
R_EX_cit_e	0.001827423928033752	0.0013780274713281744	0.002724078918452938	0.34126563093378925	0.0002191582056817721	0.022779132243256287	0.04145754351471605	0.0015978784344223016
R_EX_salcn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gly_glu__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_sbt__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ser__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_citr__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ser__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gly_met__L_e	8.360499062506276e-09	8.069193947555184e-09	7.372376797555857e-09	8.679334532577498e-09	6.412267814451841e-09	2.2180236208907107e-09	8.800175338244243e-09	0.0
R_EX_so4_e	-0.0016780363128863216	-0.0008954020002074348	-0.0009565341926032199	-0.0004039493046477105	-0.001563110360754738	-5.9473199417459106e-05	-0.0019262932665837784	-3.23739141614432e-05
R_EX_spmd_e	0.010250274982433728	0.008911914110880777	0.005903932548426678	0.011784601357891172	0.0048201958716373935	0.0015733936205770565	0.01014869570343847	0.0013923193674923945
R_EX_co2_e	3.751298008748148	3.7350444453593368	4.062595813741538	3.9908862064969086	2.6007711437674583	5.205413718410089	4.907195454922658	4.624898302057622
R_EX_cobalt2_e	1.9499066920330799e-22	4.640497640555425e-24	1.0018208127111219e-22	2.9148779188205745e-23	8.252469074718226e-23	2.871667005667514e-23	2.4268775874835963e-22	2.3961340088791828e-23
R_EX_crn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cro4_e	1.4617104905982156e-21	3.6249296321360675e-23	7.465714432635213e-22	5.258910223894478e-22	5.733111193283858e-22	1.9965504167684126e-22	1.362280547418827e-21	1.4832542880447008e-22
R_EX_srb__L_e	0.0	0.0	0.0	0.0	0.0	0.0	6.675409319249592e-09	0.0
R_EX_starch_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_subtilisin_e	1.3332332191215767e-23	1.534941406285839e-25	1.3061899637182071e-23	1.0193119364071804e-23	1.0232835646017675e-23	6.569390630873531e-24	1.1377431401179113e-23	6.249810002457242e-24
R_EX_succ_e	0.035643381938116614	0.03743605937520658	0.02847970761221515	-0.1709822701267838	0.008069724526288973	0.15089332083786872	0.19707875539017647	0.03221443140302517
R_EX_sucr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gly_pro__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_sula_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_taur_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyb_e	9.941357524201122e-09	9.941431819015244e-09	9.942735167926909e-09	9.941370144436996e-09	9.940869317279165e-09	9.945870906953939e-09	9.94349939543472e-09	9.944514712919424e-09
R_EX_thiog_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc3p_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_glyc_e	0.0	0.20535982967269165	0.0	0.0	-2.242526513646664	0.0	3.533440258195193e-10	0.0
R_EX_glyclt_e	0.00015992281766925954	0.00014407797478170639	0.00011011058005949851	0.0001430358376969374	2.4694702558264692e-05	3.624194457117005e-05	0.00031656801732242185	1.4587116997335086e-05
R_EX_glycogen_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gsn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_thr__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gthox_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_thym_e	0.0029726007340153946	0.003185424414867455	0.00303908231646422	0.008354686542455638	0.0020975177167700974	0.0038461275034049375	0.0042956020858710645	0.0034057914192062496
R_EX_gthrd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_thymd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_gua_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_tmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_tre_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_trp__L_e	9.909780438096376e-09	9.898366855858969e-09	9.895040624231894e-09	9.853915433332395e-09	9.871876051391751e-09	9.774386716850095e-09	9.90988340149583e-09	9.766158515122133e-09
R_EX_h2o2_e	9.979404684531183e-09	9.979330460597332e-09	9.979751208624669e-09	9.962048082407235e-09	9.980346088619482e-09	9.979253546783216e-09	9.978801604165492e-09	9.979201906411096e-09
R_EX_tyr__L_e	0.0055070222963877246	0.0036710610603043147	0.0025184134881727533	0.00046377956152690586	0.0014860121606730461	0.0002976192282466516	0.005958903889446563	0.00032783433280545376
R_EX_h2o_e	3.702697198130197	3.5651167180788548	4.04013657686745	1.2925306469955826	4.6573216817777565	3.186216132644601	4.003862458617963	1.77478896512339
R_EX_ump_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ura_e	4.811318932284454e-06	4.122502360205732e-06	4.238435652716117e-06	0.0018301175092444028	5.217705957608228e-07	5.334153428484565e-05	2.6027781536007958e-05	5.3123409757478524e-05
R_3UMPt6	8.609806867454495e-09	9.26921228661115e-09	9.506750497934036e-09	9.743642781501194e-09	9.740771522714908e-09	9.829955738283049e-09	7.434619808677211e-09	9.831611302857368e-09
R_EX_h_e	2.549899345683912	2.604092290811047	0.6515073154657739	-0.925132883673753	1.6952539252888643	-2.5513154174400983	1.1096026184026035	-0.8043519183574244
R_5MTRt2	-4.236357931119983e-09	4.920642560080069e-09	8.693910480417344e-09	9.483201113269502e-09	8.629528869263936e-09	9.789830945905463e-09	-8.464184908518746e-11	9.802834322059084e-09
R_6PGCt6	-0.010568266337562138	-0.0005239682178788119	-0.0007301420679006743	8.837712561771127e-09	-8.835113950889095e-06	8.240571558459921e-09	-0.0269930582035518	9.29141164007774e-09
R_EX_urate_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_2HXMPt6	-9.926560462503176e-09	-9.932729749806411e-09	-9.937059619602449e-09	-9.953518897987124e-09	-9.942267009677153e-09	-9.954113089349905e-09	-9.926139021843028e-09	-9.954265411948882e-09
R_EX_hexs_e	0.0	2.432215006046201e-20	0.0	0.0	0.0	0.0	0.0	0.0
R_2PGLYCt6	9.658837285542177e-09	9.658898347808533e-09	9.678683632330376e-09	9.594532945911284e-09	9.731238703736269e-09	9.706698556044556e-09	9.636455855499548e-09	9.704749892591735e-09
R_2PGt6	-0.003723371418295596	-0.002406964271770784	-0.001867850179236852	-8.720112461535479e-05	-0.0006411769304095483	-0.00017018932950163546	-0.008395663680097254	-9.288311371991044e-05
R_3AMPt6	9.910986920047549e-09	9.915242404900935e-09	9.91970638963835e-09	9.887720642254294e-09	9.93734095011689e-09	9.93635307366958e-09	9.903762920870918e-09	9.932765721032409e-09
R_3CMPt6	9.663331912435068e-09	9.725567462481875e-09	9.767257225234973e-09	9.776110587722542e-09	9.84360348788016e-09	9.867138883734583e-09	9.578989823566529e-09	9.8671442128051e-09
R_EX_urea_e	0.002335656720467057	0.002366502147020754	0.007093949972106186	0.08121594532560579	0.001286068717003908	0.03479025968425509	0.006564406323047906	0.035150261259537866
R_EX_uri_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_val__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_xan_e	0.0	0.0	0.0	2.491760390768801e-05	0.0	0.0	0.0	0.0
R_EX_xtsn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_xyl__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_zn2_e	3.891482945993347e-17	0.0	0.0	0.0	9.362248808445783e-18	3.124868786519031e-17	1.3612565935339944e-17	0.0
R_3GMPt6	9.882799023586129e-09	9.888895480258952e-09	9.897037189787738e-09	9.85055015334524e-09	9.924770560942877e-09	9.921428123504938e-09	9.870275263779149e-09	9.915338106125658e-09
R_3PGt6	-0.007307895226164706	-0.005255099808523457	-0.003031180453775484	-7.092050566703811e-05	-0.0010165925192249237	-0.00013708105190191058	-0.015021091106169669	-7.386544242726778e-05
R_ABTt_1	-1.9115617089227044e-08	5.739978270469237e-09	7.3054819971218884e-09	9.833894143440602e-09	8.8129687991767e-09	9.813329926444679e-09	-2.28598269202962e-08	9.846796933388191e-09
R_F6Pt6_2	9.313855711023428e-09	9.621307395346389e-09	9.694847858896232e-09	9.894094983977941e-09	9.784210809608508e-09	9.895178197352897e-09	9.311667189291587e-09	9.901720833185108e-09
R_EX_hg2_e	0.0	0.0	0.0	0.0	3.0307585594070117e-17	0.0	0.0	0.0
R_EX_his__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_hqn_e	9.926560427888542e-09	9.932729926102639e-09	9.937059408702932e-09	9.953518926754075e-09	9.942267072375324e-09	9.954113132574904e-09	9.926139023325996e-09	9.954265315406908e-09
R_EX_hxan_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_PHEt2r	-0.003745144490929775	-0.0025880453852575873	-0.001465609884832242	-0.00039911043552831593	-0.000997453646289559	-0.0001299367005487273	-0.0038654446068813186	-0.00014793390792000594
R_ACACt2	-0.014933902163256853	-0.015631595969812118	-0.005323424877165196	-0.00388868524386643	-0.0031940457246795173	-0.0026611786590233773	-0.017950321679078174	-0.01641326990945591
R_EX_icit_e	0.0018131068104922214	0.001372608258435122	0.002714883906965421	0.3919595447325136	0.0002253708094432336	0.021516980883897103	0.04081746089255444	0.0014344905483859099
R_2S6HCCi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_26DPAi	3.4063259614497986e-20	6.954677448410648e-22	1.4035894483607134e-20	4.462232441372954e-21	1.7318326821990208e-20	5.6738902640773974e-21	2.204334547319746e-20	5.353434710825975e-21
R_3AMBAt2	1.4221004740029174e-21	3.5839469925522093e-23	7.070271435880712e-22	4.960374295101267e-22	5.426762164512072e-22	1.8033707327631358e-22	1.3273504357347022e-21	1.2936680058724743e-22
R_FDH	0.05681515888453487	0.0575834026570707	0.03194058771804738	0.018347890846160047	0.04931441622532393	0.01419179307738656	0.024382142688653304	0.0563638118657766
R_FDMO_1	9.919107160763057e-09	9.914379134406988e-09	9.9207121674869e-09	9.916229253169459e-09	9.920624958795994e-09	9.912194842163506e-09	9.922095560203424e-09	9.90443578999444e-09
R_EX_ile__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AAMYL_1	9.931330444622064e-09	9.966046340654676e-09	9.96752519598322e-09	9.977222922285495e-09	9.970280458709066e-09	9.977208016453945e-09	9.931298084039905e-09	9.97780230568529e-09
R_EX_inost_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ins_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_istnt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ABTA	9.450587867831928e-09	9.454817040399632e-09	9.56421819520159e-09	6.333316981965709e-09	9.587053595438988e-09	9.600479744520385e-09	9.328843475486792e-09	9.632126762859627e-09
R_EX_k_e	7.058625683953324e-09	7.0586283484885826e-09	7.058786666291894e-09	7.058513329383231e-09	7.058966966511093e-09	7.059184792268525e-09	7.0585282063717605e-09	7.059228090966485e-09
R_EX_lac__L_e	0.4087088263028496	0.5034968851923846	0.21148513507495972	0.08246055104664587	0.1550622977417746	0.13181933227439613	0.9501387847519168	0.11232629564924003
R_EX_lanth_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_FBA	0.9979588500040952	0.6178710185208873	0.5203083583691475	-0.14619033792429725	0.7641012000415275	-0.1391687643586721	0.8919501503461247	-0.1633036756517865
R_EX_lcts_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_FBA2	1.069493205108074e-08	0.7271440485129461	8.212820201691784e-09	-2.4658555641821067e-08	-1.106845130806074	-1.4967916239783108e-08	1.038062480418489e-08	-1.7507487903856145e-08
R_FBP	0.03358694514963473	0.5802726169951206	0.0534655780073816	0.2668878390967765	0.4062512295147117	0.23979947555318126	0.03883105569726957	0.2508097494054941
R_FCLT_2	4.217188212502133e-18	0.0	2.661329795709651e-15	0.0	9.428294392656745e-16	0.0	2.1782010021358297e-18	0.0
R_FDMO1	9.825401774113607e-09	9.806823710568549e-09	9.833662708985063e-09	9.822308208760773e-09	9.839858670444993e-09	9.793833761630663e-09	9.836431971767308e-09	9.73437047836679e-09
R_FDMO2_1	9.925519802684777e-09	9.921261693526718e-09	9.930140387347557e-09	9.92540597327838e-09	9.929094534284867e-09	9.928095726845571e-09	9.928282136693405e-09	9.919670069305157e-09
R_FDMO3_1	1.1777746817669904e-20	0.0	7.189853824714933e-20	4.724043793841498e-20	7.476767433942817e-20	6.001556120745969e-20	2.3535073034748856e-20	7.965069790791507e-20
R_AB6PGH	9.9265604192822e-09	9.932729880841682e-09	9.937059508397116e-09	9.953518943943708e-09	9.942266973176038e-09	9.954113105402728e-09	9.92613903031272e-09	9.954265349720934e-09
R_ABUTD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_MACCOAT	0.1321812575578022	0.11506958031032323	0.12406749846315555	0.06697052485325339	0.12381959210961135	0.09992945063698676	0.17813365982380658	0.06797336125799236
R_ACACT2r	-0.00012186452814744175	-5.693728578781698e-05	-0.0002412972164658189	-3.345286208633613e-05	-0.00021986421963082758	-0.00013841928955560245	-0.00018060231924021952	-4.3551548345233115e-05
R_ACACT3r	-0.0001218645281476638	-5.693728578792802e-05	-0.00024129721646604096	-3.34528620866692e-05	-0.0002198642196309386	-0.00013841928955526941	-0.0001806023192404416	-4.355154834501107e-05
R_ACACT4r	-0.0001218645281476638	-5.693728578792802e-05	-0.00024129721646637403	-3.34528620866692e-05	-0.00021986421963116065	-0.00013841928955493632	-0.00018060231924033052	-4.355154834478903e-05
R_ACACT5r_1	-0.00012186452814788584	-5.693728578792802e-05	-0.0002412972164665961	-3.345286208689125e-05	-0.00021986421963127167	-0.00013841928955460325	-0.0001806023192404416	-4.355154834434494e-05
R_ACACT6r_1	-0.00012186452814799685	-5.693728578770596e-05	-0.00024129721646681807	-3.345286208689125e-05	-0.00021986421963160477	-0.0001384192895543812	-0.0001806023192406636	-4.355154834401187e-05
