	mean $v_i$ tumor	mean $v_i$ normal	p-value	difference
Protein formation	4.06957477652884e-05	3.846560328867446e-05	0.00040817429342176825	-2.230144476613938e-06
Transport, nuclear	7.805843360357822e-05	7.591229310740349e-05	1.5912985018650284e-05	-2.1461404961747285e-06
Hyaluronan metabolism	1.291541463918591e-05	1.1672172955256417e-05	0.001989035836928929	-1.2432416839294932e-06
Beta-Alanine metabolism	3.3244940993245484e-05	3.2342353102084846e-05	0.0010398495865977136	-9.02587891160638e-07
O-glycan metabolism	1.2045620307288774e-05	1.1189016168399228e-05	1.9003226316565877e-13	-8.566041388895463e-07
Tyrosine metabolism	5.855207169103593e-05	5.775186197919555e-05	0.4687694894239207	-8.002097118403809e-07
CoA catabolism	1.627958241640569e-05	1.549624360195063e-05	0.509269225602932	-7.83338814455061e-07
Glycosphingolipid metabolism	1.3391982892285068e-05	1.2616369317015994e-05	3.215570786237572e-09	-7.75613575269074e-07
Starch and sucrose metabolism	6.976072843105518e-05	6.91868697348485e-05	0.43110826084859016	-5.738586962066792e-07
Thiamine metabolism	4.198421127684612e-05	4.1419438043437865e-05	0.040465584777059554	-5.647732334082545e-07
N-glycan synthesis	6.80753741750439e-05	6.763667952996186e-05	0.03643014984010221	-4.3869464508204073e-07
Arachidonic acid metabolism	4.428133387003119e-05	4.3972676975198994e-05	0.07780438436019199	-3.0865689483219443e-07
Androgen and estrogen synthesis and metabolism	2.6946190525149086e-05	2.6837074657847928e-05	0.30657006360806416	-1.0911586730115791e-07
Heparan sulfate degradation	1.020354275059641e-06	9.28062294631108e-07	1.9373504308848477e-06	-9.229198042853289e-08
Nucleotide sugar metabolism	4.0987312515634635e-06	4.052064871299536e-06	0.4125508804011042	-4.6666380263927345e-08
Chondroitin synthesis	1.857327300345252e-06	1.8200129448483684e-06	0.17937086797341262	-3.731435549688364e-08
Keratan sulfate degradation	9.405559571556992e-07	9.301590228556258e-07	0.9553852712129177	-1.0396934300073422e-08
Nucleotide metabolism	6.861914518161207e-08	6.371099517869939e-08	0.23369124231866434	-4.9081500029126765e-09
N-glycan degradation	1.3023887514693355e-10	1.2763785146455243e-10	4.85478320937045e-08	-2.60102368238112e-12
Hippurate metabolism	1.0272972632206257e-10	1.0093386575924423e-10	5.430567878107919e-07	-1.7958605628183392e-12
Lipoate metabolism	4.991794772492839e-11	4.927989854413075e-11	7.110030845036921e-06	-6.380491807976374e-13
Dietary fiber binding	1.688063996010466e-11	1.6582228842572417e-11	4.853855165284401e-07	-2.984111175322437e-13
Alkaloid synthesis	5.43038164325165e-13	3.147418690951386e-13	0.38551372388700234	-2.282962952300264e-13
Limonene and pinene degradation	2.921003287269709e-11	3.081777719356051e-11	0.9978386382492375	1.6077443208634158e-12
Blood group synthesis	5.6436463835305176e-08	6.022891459928451e-08	0.002220847571314341	3.792450763979338e-09
Chondroitin sulfate degradation	1.0165885177989057e-06	1.021661490022562e-06	0.07169752190541509	5.072972223656257e-09
Keratan sulfate synthesis	2.631764901029611e-06	2.640725761968253e-06	0.0768755396333359	8.960860938641829e-09
Transport, extracellular	8.853425165708371e-05	8.855710464057977e-05	0.24938534196327194	2.2852983496058537e-08
Biomass and maintenance functions	1.5393146901070632e-07	1.7747550374649847e-07	3.4099044032427876e-18	2.3544034735792143e-08
Pyrimidine catabolism	0.0001636657313807862	0.00016373364233702797	0.8786772807262293	6.791095624177979e-08
Drug metabolism	6.8018928143619995e-06	7.076201928036004e-06	0.018663971558870535	2.7430911367400485e-07
Transport, golgi apparatus	3.479073750958676e-05	3.510920470252961e-05	0.1029011699978084	3.1846719294285355e-07
Bile acid synthesis	0.00011442000858397818	0.00011496752830941146	0.27016160386718324	5.475197254332833e-07
Intracellular source/sink	0.0005567409241991038	0.0005576795111026475	0.27388447870352084	9.385869035436921e-07
Cytochrome metabolism	3.001494990164156e-06	3.949975818632122e-06	1.7743495004967645e-07	9.484808284679656e-07
Folate metabolism	7.171228084308695e-05	7.267397340119648e-05	0.018445575362080635	9.616925581095272e-07
Intracellular demand	5.47280002499758e-05	5.5914774678993805e-05	2.070163768553768e-06	1.1867744290180025e-06
Vitamin B6 metabolism	2.218672438105973e-05	2.338817585289327e-05	3.0442531164570882e-05	1.2014514718335381e-06
Transport, mitochondrial	0.00012738685735379492	0.00012859501132138454	0.0005703983098934425	1.2081539675896198e-06
Extracellular exchange	6.824460770634426e-05	6.982820992894971e-05	2.2230502887229336e-09	1.583602222605444e-06
Ubiquinone synthesis	2.1629985340157956e-05	2.3311160335839787e-05	1.1947104848791694e-13	1.6811749956818312e-06
Steroid metabolism	1.9884502190833912e-05	2.164545149113558e-05	1.2773438800549504e-13	1.7609493003016666e-06
CoA synthesis	1.2947255492007049e-05	1.4857778372401034e-05	2.6803132583444077e-28	1.9105228803939853e-06
Transport, lysosomal	8.977158398021526e-05	9.190657924457648e-05	0.0005762162780970086	2.1349952643612177e-06
Taurine and hypotaurine metabolism	4.4626317010962846e-05	4.705592096420858e-05	0.00010561404882876756	2.4296039532457317e-06
Peptide metabolism	3.7048546339755366e-05	4.056723651004702e-05	1.4978366919349235e-24	3.518690170291654e-06
Transport, peroxisomal	0.00013780534027138693	0.0001413488046064567	1.3249666291270408e-09	3.5434643350697734e-06
Fatty acid oxidation	7.706222154590403e-05	8.079155625613602e-05	1.213926289319765e-15	3.729334710231988e-06
Urea cycle	0.00013962287010700104	0.00014408532371553388	6.132484753491405e-05	4.462453608532842e-06
Cholesterol metabolism	5.08098037197292e-05	5.539546330375941e-05	6.789573001739207e-30	4.585659584030214e-06
Histidine metabolism	5.6929041587489633e-05	6.15270489752808e-05	0.035568495923537856	4.59800738779117e-06
Lysine metabolism	6.532094131059695e-05	7.019460110345567e-05	8.632177056533071e-15	4.873659792858714e-06
Biotin metabolism	3.561149519971866e-05	4.1147450713773545e-05	1.3852151648993828e-20	5.535955514054883e-06
Valine, leucine, and isoleucine metabolism	0.00011810724116855783	0.00012370358358588862	7.71338898076575e-15	5.596342417330783e-06
N-glycan metabolism	4.9046853763618496e-05	5.5210982003512837e-05	1.798584996614059e-43	6.164128239894341e-06
Propanoate metabolism	6.73330513795116e-05	7.397306201295965e-05	1.2322633240803047e-17	6.6400106334480515e-06
Triacylglycerol synthesis	4.578179096105439e-05	5.2971498611167584e-05	9.352124336517317e-26	7.189707650113192e-06
Squalene and cholesterol synthesis	6.722929513744548e-05	7.459538167171283e-05	1.5599183740495198e-33	7.366086534267352e-06
Exchange/demand reaction	0.00014229570873038622	0.00015039037621627257	0.001481456193634115	8.094667485886354e-06
Methionine and cysteine metabolism	8.709109020769923e-05	9.805230242472251e-05	1.5342335409116438e-59	1.0961212217023284e-05
Tryptophan metabolism	8.63513881699309e-05	9.89668311368511e-05	1.1202105429706834e-23	1.2615442966920198e-05
Leukotriene metabolism	0.000157638632768465	0.0001726606221160533	1.1146639102241633e-13	1.50219893475883e-05
Tetrahydrobiopterin metabolism	4.257827371456539e-05	5.905037319727298e-05	5.007605795924685e-47	1.6472099482707595e-05
ROS detoxification	0.00012772359643237262	0.00014520845058758913	5.935422907474456e-48	1.748485415521651e-05
Citric acid cycle	0.00045110335560884327	0.0004690661435928091	7.1359420456321915e-12	1.796278798396584e-05
Alanine and aspartate metabolism	0.0001806268502918491	0.00019932786909548732	3.464834519271932e-16	1.8701018803638208e-05
Oxidative phosphorylation	0.0017130823461345432	0.0017368066260277952	0.0007581265888292587	2.3724279893251946e-05
Glutamate metabolism	0.0004940370311384382	0.0005241165472548686	7.579393320256506e-15	3.007951611643043e-05
Glyoxylate and dicarboxylate metabolism	6.756091629155962e-05	0.00010436724978649013	2.2774517065949844e-27	3.680633349493051e-05
Glycine, serine, alanine, and threonine metabolism	0.00017060718705413417	0.00020991386921372286	7.077376808373728e-54	3.930668215958868e-05
C5-branched dibasic acid metabolism	0.0002687952976019515	0.00033393723140565687	6.882628533025271e-22	6.514193380370537e-05
Butanoate metabolism	8.437837995082566e-05	0.0001755135623585089	3.478710911422039e-54	9.113518240768325e-05
Pyruvate metabolism	0.000574444688064169	0.000672795938239838	6.277636339643242e-26	9.835125017566902e-05
