	mean $v_i$ tumor	mean $v_i$ normal	p-value	difference
Vitamin E metabolism	8.373348945501125e-05	8.271331472163107e-05	0.03369054875177394	-1.0201747333801769e-06
Lysine metabolism	6.888453741904165e-05	6.792466011943186e-05	0.4889516037251519	-9.598772996097916e-07
Transport, mitochondrial	0.00012394456046244275	0.00012299738068009166	0.04573179814846326	-9.471797823510915e-07
Glycosphingolipid metabolism	1.5720719081956467e-05	1.4877009821662459e-05	2.4168614601447162e-09	-8.437092602940087e-07
Vitamin B6 metabolism	2.0837134297269063e-05	2.0330117441615007e-05	0.29122019860500725	-5.070168556540562e-07
Keratan sulfate synthesis	3.491508164285117e-06	2.9988434151089886e-06	5.674586111172898e-29	-4.926647491761285e-07
Vitamin C metabolism	0.0001303261579816841	0.00012999000965281855	0.17273631808522294	-3.361483288655525e-07
Nucleotide sugar metabolism	5.268207414952677e-06	4.996461947308562e-06	7.584921924765378e-08	-2.7174546764411535e-07
Heparan sulfate degradation	1.4004728898083312e-06	1.2326271668168103e-06	8.305553236828087e-20	-1.6784572299152084e-07
Keratan sulfate degradation	1.2255313453588532e-06	1.0740183018403977e-06	2.181210113669649e-22	-1.5151304351845546e-07
Chondroitin synthesis	2.3929284670997623e-06	2.2702988536335477e-06	2.8987182437396245e-09	-1.2262961346621462e-07
Blood group synthesis	9.437208541108642e-08	5.1208910056630224e-08	2.5456939011038368e-51	-4.31631753544562e-08
Chondroitin sulfate degradation	1.2902303566157406e-06	1.252551478550606e-06	0.00184586085012458	-3.767887806513462e-08
Nucleotide metabolism	6.722231806492393e-08	4.215373870135337e-08	1.3070420292875602e-27	-2.506857936357056e-08
Lipoate metabolism	5.0788270215222026e-11	5.026272438314203e-11	9.725661747137464e-05	-5.255458320799943e-13
Hippurate metabolism	1.0438248604827393e-10	1.0400435941086876e-10	0.11521202188624902	-3.781266374051725e-13
N-glycan degradation	1.3203702521947593e-10	1.3170968813585224e-10	0.1926647864682438	-3.273370836236895e-13
Dietary fiber binding	1.7156630722580453e-11	1.7090632830944047e-11	0.09886906235229909	-6.599789163640542e-14
Alkaloid synthesis	2.9397430699294997e-14	0.0	0.1307189982514676	-2.9397430699294997e-14
Limonene and pinene degradation	2.8823250146384133e-11	3.018367072292728e-11	0.6552254284863017	1.3604205765431445e-12
Biomass and maintenance functions	1.3582436993742296e-07	1.3595143435579482e-07	0.30169756870294673	1.270644183718658e-10
Drug metabolism	5.516209157398748e-06	5.771899356005119e-06	0.011062864660416696	2.5569019860637073e-07
Ubiquinone synthesis	1.804837755380127e-05	1.8661149391214046e-05	1.0163902495692443e-07	6.127718374127766e-07
Cytochrome metabolism	4.985364541383482e-07	1.1307526958050202e-06	1.379829741035382e-30	6.32216241666672e-07
Arachidonic acid metabolism	4.2706132723858414e-05	4.33392303131935e-05	0.0008966043816382883	6.330975893350832e-07
O-glycan metabolism	1.2662816984069299e-05	1.3386756300890928e-05	6.049024368474573e-13	7.239393168216286e-07
Transport, golgi apparatus	3.654680623796954e-05	3.7317038529100593e-05	5.09443326276184e-06	7.70232291131054e-07
Fatty acid synthesis	5.9771558197456974e-05	6.0818612856554065e-05	8.039859807614186e-06	1.0470546590970916e-06
Biotin metabolism	3.3907706282142315e-05	3.512413099000725e-05	0.00023328198991999638	1.2164247078649357e-06
Glyoxylate and dicarboxylate metabolism	1.8852639818128876e-05	2.0081351182959042e-05	0.025678532371246992	1.228711364830166e-06
Tetrahydrobiopterin metabolism	4.105335718487998e-05	4.229680479259224e-05	0.01951521396674679	1.2434476077122559e-06
Transport, extracellular	8.717682727094136e-05	8.879208099812607e-05	1.2000977387266346e-05	1.6152537271847065e-06
CoA synthesis	1.0780513757618576e-05	1.2709755586539426e-05	9.921396813339284e-40	1.929241828920851e-06
Methionine and cysteine metabolism	8.11268696946258e-05	8.343880904686415e-05	1.825710761657479e-05	2.3119393522383537e-06
Intracellular demand	5.171353302839152e-05	5.419829954313207e-05	1.5243106292354948e-20	2.484766514740554e-06
CoA catabolism	1.9939924248039874e-05	2.2476978455332625e-05	1.0112624410168721e-10	2.537054207292751e-06
Protein formation	3.2859659498661904e-05	3.541454173115938e-05	1.7266130543238793e-08	2.554882232497475e-06
Glycerophospholipid metabolism	4.9388198007647126e-05	5.271475387182985e-05	1.5285059016612102e-39	3.3265558641827216e-06
Beta-Alanine metabolism	3.2898954985635536e-05	3.628240705552732e-05	2.364175888722114e-31	3.3834520698917863e-06
Transport, lysosomal	8.799792930357266e-05	9.150071709682746e-05	6.311198123617432e-16	3.502787793254806e-06
Thiamine metabolism	3.803862219015563e-05	4.19199595244983e-05	1.773333023165658e-28	3.8813373343426686e-06
Fatty acid oxidation	6.914792182115468e-05	7.31091703440007e-05	2.531795519518279e-28	3.961248522846018e-06
Steroid metabolism	2.0718178167748008e-05	2.4792844435146803e-05	3.03326022881987e-36	4.074666267398795e-06
Extracellular exchange	6.53215043316068e-05	7.037881483818741e-05	1.0725567484950143e-46	5.0573105065806145e-06
Valine, leucine, and isoleucine metabolism	0.0001054647649106644	0.0001106636354062539	1.010194725644245e-11	5.198870495589511e-06
Cholesterol metabolism	5.038392174837512e-05	5.622102968069904e-05	2.2166839500125323e-41	5.837107932323925e-06
Transport, peroxisomal	0.00012624275878649077	0.00013221155014979597	9.185444856815644e-21	5.9687913633052025e-06
N-glycan metabolism	5.7193232043479964e-05	6.361632401758023e-05	3.186107141472079e-49	6.423091974100268e-06
Peptide metabolism	3.652510058085459e-05	4.297333134108093e-05	8.273783577946781e-60	6.44823076022634e-06
C5-branched dibasic acid metabolism	0.00022117359179583962	0.00022807213126116248	0.0029269832251798823	6.898539465322864e-06
Transport, endoplasmic reticular	0.00013327412725715152	0.0001405395085696752	1.3295862761434028e-23	7.265381312523663e-06
Squalene and cholesterol synthesis	7.879649831175553e-05	8.633369247607891e-05	6.817999143125146e-43	7.5371941643233786e-06
Taurine and hypotaurine metabolism	5.683711535227223e-05	6.490121908204392e-05	1.678743488177907e-09	8.064103729771696e-06
Triacylglycerol synthesis	4.66003161259093e-05	5.633979262499058e-05	1.0400364919566394e-46	9.739476499081284e-06
Histidine metabolism	2.84040532922862e-05	3.8306454153697256e-05	3.0496646092830605e-28	9.902400861411056e-06
Bile acid synthesis	0.00010466596093452362	0.00011554773309819264	8.036453030554841e-30	1.0881772163669017e-05
Propanoate metabolism	5.08917450616401e-05	6.198677687633511e-05	1.0756997291306905e-39	1.1095031814695011e-05
Tryptophan metabolism	5.953692164010645e-05	7.381671037721915e-05	2.3312130927682257e-26	1.4279788737112701e-05
Vitamin B12 metabolism	0.00017275692169014726	0.00018820536480523015	5.8505888552515735e-24	1.5448443115082894e-05
Linoleate metabolism	0.00012571413777848417	0.00014180411033975324	9.06562792658306e-36	1.608997256126907e-05
Glutathione metabolism	0.0003661883836435629	0.0003841976852368564	1.8869710157484692e-09	1.8009301593293454e-05
Vitamin D metabolism	0.0002163683777547865	0.0002344418111099014	5.465766473985017e-35	1.807343335511491e-05
Vitamin A metabolism	0.00018290341632208105	0.0002012361626734532	9.894128661585735e-24	1.8332746351372144e-05
ROS detoxification	0.00010715875359999382	0.00012781440330170444	3.0329802199828197e-30	2.0655649701710628e-05
Butanoate metabolism	5.4291196420005016e-05	7.699545266194987e-05	3.4220516267179976e-23	2.270425624194485e-05
Pyruvate metabolism	0.0006683267240249085	0.0006934801656450867	0.00013262062364771134	2.5153441620178233e-05
R group synthesis	0.00015726903313466686	0.00018278682248573338	2.686793987696772e-58	2.5517789351066518e-05
Pyrimidine catabolism	0.0001703877040817767	0.00019628789481696712	2.635864449471918e-21	2.5900190735190425e-05
Intracellular source/sink	0.0005528124363428598	0.0005881952876896523	2.5549589529579945e-42	3.538285134679247e-05
Oxidative phosphorylation	0.0016185410448508902	0.0017245608356979897	6.51352808021127e-27	0.00010601979084709956
